Beseda,Števec
biti,7176
da,4328
ta,4291
jesti,3741
in,3235
v,2874
se,2614
za,2191
na,1972
pa,1659
ne,1565
ki,1448
tudi,1372
jaz,1283
on,1032
imeti,893
o,795
tak,767
če,749
s,746
še,652
kot,633
ali,632
ko,620
z,591
sam,579
sem,572
lahek,568
ker,565
že,556
vedeti,554
ves,528
potem,509
država,506
kar,496
ozir,493
po,484
iti,461
kaj,452
slovenija,442
slovenski,435
tisti,421
zakon,408
gospoda,407
nek,402
tukaj,399
ampak,397
drug,396
zadeva,395
ti,394
do,392
let,391
oda,365
kakšen,360
kak,344
beseda,340
en,335
iz,302
predlog,293
zaradi,287
državen,286
naš,277
ministrica,275
več,266
–,263
kateri,249
vlada,248
obramba,245
pri,241
zdaj,239
stran,238
predlagati,236
predsednik,235
glede,230
tam,229
priti,228
poslanec,226
si,225
predvsem,225
svoj,223
nekateri,222
dati,218
stranka,217
govoriti,212
gospa,211
kdo,210
sedaj,209
danes,208
kolega,208
mlad,207
videti,206
velik,205
pravi,205
področje,200
del,199
reči,197
problem,196
takrat,194
seja,193
razprava,193
nekaj,192
vojska,192
sklep,190
dobiti,190
reklo,189
kjer,188
milijon,188
narediti,187
proračun,187
seveda,185
dva,185
odbor,183
naprej,177
leto,177
člen,176
dejati,176
čas,174
ever,173
človek,172
mora,170
misliti,169
verjeten,165
vaš,165
naj,164
ministrstvo,164
treba,163
pač,163
minister,163
očiten,160
sredstvo,158
republika,157
proti,156
služba,155
demokratski,152
vprašanje,152
prvi,152
primer,151
povedati,149
reč,148
raven,143
varnost,141
zato,140
tisoč,139
upati,138
evropski,138
nov,137
mogoč,136
prav,136
zbor,135
res,135
stvar,135
ostal,135
ukrep,134
slišati,132
islamski,132
kljub,131
pravica,131
podpreti,130
bolj,130
tikati,130
pripravništvo,129
zanimati,127
dan,127
verjeti,126
kolegica,125
strinjati,125
gospod,125
vsaj,124
želeti,122
sprejeti,121
zveza,121
odgovor,121
komisija,120
vsak,117
javen,115
nekdo,114
mnenje,114
morati,113
trije,113
način,113
točka,113
varnosten,112
meniti,112
finančen,111
k,110
podlaga,110
potreben,110
vojen,110
konkreten,109
prej,108
moči,107
ob,107
praktičen,106
takšen,106
med,106
mesec,105
sprememba,105
dajati,104
obramben,104
konec,104
denar,103
sistem,102
pred,102
nič,101
dober,100
obveščevalen,100
saj,98
nit,97
glasovati,97
sploh,96
pogovarjati,96
situacija,96
trenuten,96
nihče,95
šola,95
začeti,95
cel,94
vedno,94
vojaški,94
govor,93
enkrat,93
sicer,93
svet,91
sodišče,89
koalicija,89
pogledati,88
mali,88
prihajati,88
hvala,87
red,87
nazaj,86
nato,85
dneven,85
sov,84
vendar,84
morala,84
delati,83
vprašati,83
spoštovan,83
moj,82
približen,82
ura,81
pomen,80
tu,79
mena,79
cesta,79
določen,79
poslanski,79
zadnji,79
skupina,78
zelo,77
nacionalen,76
bit,76
tolik,76
nadzor,75
zgoditi,74
stanje,73
njihov,73
gledati,73
2,72
janša,72
okvir,72
kdaj,72
naslednji,72
zakaj,72
socialen,72
politika,71
janez,71
pod,71
dejanje,71
član,70
policija,70
prositi,69
stanovanje,69
zakonodaja,69
nekak,69
noben,69
deloven,69
ter,68
pričakovati,68
izobraževanje,68
ustaven,66
podjetje,66
pomemben,66
poslanka,66
infrastruktura,65
dr,65
kazenski,65
spremeniti,65
terorističen,64
podatek,64
žal,64
kje,63
številka,63
mesto,63
zagotoviti,62
koalicijski,62
poročilo,62
smer,62
program,62
delo,61
resolucija,61
trg,61
predstavljati,61
občina,60
prebrati,60
evropa,60
poslušati,60
političen,59
direktor,59
spraševati,59
isti,58
jasen,58
napisati,57
državljan,57
bodisi,57
namen,57
dogajati,57
sprejet,56
unija,56
20,56
begunec,55
kolik,55
odločiti,55
nadaljevanje,55
